Sygdom 	Tyngde 	Emne 	Definition 	Forekomst 	Patogenese 	Ætiologi 	Symptomer og fund 	Diagnostik 	Følgetilstande 	Behandling 	Forebyggelse 	Prognose	prioritet
Morbus Scheuermann (rundryg) 		Bevægeapparatets sygdomme	En rygsygdom med segmentær krumning af rygsøjlen pga. kileform af almindeligvis tre til fem efterfølgende hvirvler. 	Udvikles i puberteten og ca. 5% af den voksne befolk har Scheuermann-forandring, mens flere har færre forandringer i ryggen. Optræder [1:1]. 	Under puberteten udvikle uregelmæssige knogler af hvirvellegemerne med lokalt henfald i knogle, hvilket fører til svækkelse af endepladerne (sætligt randen af disse). Afhængig lokalisation, antal involverede hvirvler oh graden af defekt bøjes ryggen forover. Knoglen er i sig selv smertefri, men foroverbøjningen kan give anledning til fejlstilling og belastning af naboområder. Henfaldet af knogler opfører med afslutningen af vækst, men fejlstillingen er permanent. 	Der synes at være en arvelig komponent, da 50% af søskende til en patient har forandring i ryggens hvirvler. 	Muskelspændinger og smerter i ryggen over og under det afstivede område. Duknakket holdning. 	På røngentbilleder ses afsmalnede, kileformede hvirvellegemer. Afhlndig af forandringernes grad afgøres Scheuermann ved en holdningsanalyse. 	Hvirvellegemerne kan give så meget efter, at der opnås en uacceptabel kyfose (krumning). På længere sigt er der risiko for svære forandringer i discui i og omkring Scheuermann-forandringerne. 	I vækstperioden kan det være nødvendigt at bære korset, der aflaster og fprhindrer yderligere forandringerne. Træning er baseret på at styrke trunkus muskulatur og overholde forholdregler ift. Abrejde og rygbelastende aktiviteter. 	Undgå større vægtbelastninger i selve vækstperioden. 	Efter man er udvokset udvikler forandringerne sig normalt ikke yderligere. Smerter kan opstå under vækstperioden forsvinder typisk. Kropsholdning er permanent. 	Ikke pensum
Fibromyalgi 		Bevægeapparatets sygdomme	generaliserede muskelsmerter i mindst tre måneder med ømhed i mindst 11 ud af 18 udvalgte tenderpoints uden anden påviselig medicinsk årsag. 	Debuterer 30-50 års alderen og er hyppigst hos kvinder [7:1]. Ca. 1% af den danske befolkning.	Generelt nedsat smertetærskel pga. en blanding af centrale og perifere mekanismer. Ingen specifik muskelforandring, men nedsat styrke og udholdenhed af muskulaturen. 	Ukendt 	Udtalt ømhed over alt og fysisk aktivitet forværrer generne. Morgenledstivhed, hovedpine, træthed, dårlig søvn, uro i muskulaturen, uregelmæssig afføring og tørhed i øjne og mund. 	Der testes for muskelømhed i tenderpoints i nakke-skulder, under albuer, omkring balder, hofter og knæ. 	Nedsat/ophørt tilknytning til arbejdsmarkedet. 	NSAID har begrænset virkning. Visse antidepressive og epilepsimidler (neuropatiske smerter) anvendes til natten evt. kombineret med sovemedicin for at forbedre søvnen. Det vigtigste er at opretholder funktionen ved daglig aktivitet. 	Da årsagen til sygdommen ikke kendes, er det svært at forebygge. For nogle kan omlægning af arbejdsforhold hjælpe til bedring. 	Udsigten til helbredelse er ringe, da de fleste har et kronisk forløb, dog forbliver de fleste patienter selvhjulpne. Sygdommen i sig selv er ikke livskortende. 	Ikke pensum
Myoser 		Bevægeapparatets sygdomme	Smertende, ømme områder med konsistensøgning i muskulaturen. 	Den hyppigste lidelse i bevægeapparatet hos voksne før pensionsalderen. 	I det store hele er smertemekanismen ukendt, men der er fundet iltmangel i myoser. Iltmangel i muskelfibre, der bruges ofte. 	Ses efter akut/kronisk overbelastning (særligt statisk arbejde), men ses også som ledsagefænomen til sygdomme vedr. led/sener. 	Øm muskel, lokalt ubehag. Bedring ved opvarmning. Sekretærnakke og mussearm er det mest hyppige ved statisk arbejde, hvor der sker spænding uden yderligere bevægelse. 	Ved palpation lokaliseret ømme og konsistensøgede områder i de berørte muskler. Myoser kan ikke ses ved billeddannende teknikker. 	Smerterne kan blive kroniske og en vis andel af disse har nedsat arbejdsevne. 	Behandles ved udspædning, lokal bløddels- og øvelsesbehandling ofte af fysioterapeuter. Hvis der er tegn på inflammation, kan der behandles med NSAID. 	Man bør undgå monotone og langvarige statiske spændingsholdninger, hvor musklen spændes mere og mere op. Her tilrådes det, at tage nogle pause, hvor de berørte muskelgrupper bevæges og strækkes ud. 	Hvis det er mjuligt, at afbryde de udløsende faktorer skal dette ske for at restituere, men de fleste ender med kronisk smerte. 	Ikke pensum
Tendinitis (senebetændelse)		Bevægeapparatets sygdomme	Inflammation omkring sener efter fejlbelastning. Ses både som akut og kronisk. Typisk lokaliseret mellem muskel og sene. 	Findes ingen systematiskee opgørelser. Mange tilfælde er lette. 	Inflammation opstår ved rent mekanisk irritation. Der er glidende overgang fra den inflammatoriske reaktion til egentlig fiberskade eller i værste fald seneruptur. 	Tendinitis kan fremprovokeres ved større, kraftig belastning, men særligt patienter med inflammatoriske tilstande har øget risiko for tendinitis. 	Kraftig ømhed lokalt i området. Morgenledstivhed og tilsvarende lindring, hvis "opvarmning af området". Almindeligvis lokaliseret ved akillessenen og skulderens "rotatorcuff". 	Senebetændelse har tendens til at blive kronisk og dermed give langvarige gener og funktionsnedsættende, hvis smerter opretholdes. 		Aflastning først og fremmest, fx ved hælforhøjelse for at beskytte akillessenen eller en håndledsskinne for at undgå rotation i albueleddet. Generelt kræver musklen ro og uden belastning i en periode og bløddelsbehandling af fysioterapeut kan forsøges. Smertelindrende medicin og NSAID bør forsøges før det gives binybarkhormon som injektion. Hvis den lokale inflammation er meget udtalt kan der forsøges med høj forsigtighed at sprøjte glukokortikoid langs senen, men med risiko for ruptur ved bevægelse. 	Opvarmning og udspænding smidiggør senerne og nedsætter risikoen for overbelastning. Hvis der før er opstået senebetændelse ved én bestemt aktivitet, bør denne undgås. 	Ved korrekt aflastning og genoptræning er prognosen god, men ved uændret og skaldelig belastning vil betændelsen derimod forblive aktiv og volde gener. 	Ikke pensum
Tendovaginitis (seneskedehindebetændelse) 		Bevægeapparatets sygdomme	Inflammation i senesken omkring én eller flere sener. 	Ses hyppigst hos yngre kvinder med skrivearbejde. Ingen systematiske opgørelser over forekomst. 	Ved overbelastning angiver synovialis (ledhinden) i seneskeden af inflammation, som giver hævelse, rødme, smerter, varme og nedsat funtion. 	Opstår typisk ved overblastning af senen eller som del af inflammatorisk lidelse, hvor synovialmembraner inddrages (f.eks. Reumatoid artrit)	Ses især ved håndled efter belastning af hånd og fingre. Der er smerter i hvile og særlige kraftige ved brug. Som regel kan man føle sig til den inflammerede, ødematøse seneskede. 	Palpering (føle sig frem)	Aflastning evt. med skinne. Supllering med NSAID. Ved udtalte gener giver injektion lokalt med binyrebarkhormon. Kirurgisk spaltning af seneskede i værste tilfælde. 	Forebygges ved at nedsætte eller ændre arbejdsmæssig belastning. 	Tilstanden har udpræget tendens til at komme igen ved udændret belastning, f.eks. Ved skrivearbejde. 		Ikke pensum
Frakturer	Mellem	Bevæge	Brud på en knogle. Man taler om åbne og lukkede frakturer. 	80.000 pr år i Danmark, hvoraf 50.000 behandles uden operation. 	Brudlaststyrken i ryghvirvlerne ligger hos unge raske over 5000 newton. 2000 i håndled, 10000 i hofte. Højenergitraumer giver tendens til større kompliktioner, da flere bløddelskader opstår. Mikrotraumer opstår ved gentagen belastning, der fører til stressfraktur. 	Ved stød/slag ift. knoglebrudsstyrke. 	funtionsnedsættelse, hævelse deforming og misfarvning ved frakturen, ømhed ved belastning, løshed ved knoglen samt evt. fejlstilling	Røgtenbillede, CT eller MR scanning	Kar-nervesskade (efter operation eller fejlplacering af knogle),  infektion, dyb venøs trombose, forsinket heling, pseudoartrose, DIC (patologisk koagulation i karbanen med forbug af koagulationsfaktorer og blodplader), ledstivhed, refleksdystrofi (smerter, øget varme osv..)	 Groft sagt skal forholdene optimeres for knogleheling og samtidig mininere risikoen for komplikationer. Sørge for god blodtilstrømning, skabe stabilitet, bandage, reposition, kirugisk behandling for osteosyntese. Intern og ekstren fiksering (skruer, pinde og afstivere), amputering i værste fald. 	Nedsætte risiko for fald, generelt sker brud ved vild aktivitet eller sport, hvilket kan forebygges, men det er ofte svært af forhindre, da knoglerne ender i forkerte retninger. 	god i de fleste tilfælde. Nogle brud leder til permanente gener. 	Mellem
Proksimal femurfraktur (Hoftebrud)	Mellem	Bevæge	Fraktur i proximale ende af femur	Ca. 10.000 pr år i DK. Indicensen er stigende med alderen, og gnms. Over 80 år. 	Knoglebrusstyrken reduceres med alderen. Især Osteoporose er en stor årsag. 	Stød/slag. Osteoporose vigtig årsag mellem ældre. Øvrige risikofaktorer er lav vægt, lavt fysisk aktivitetsniveau, faldtendens, tidlig menopause, rygning, alkohol, tidligere knoglebrud, D-vitamin mangek, glukokortikoidbehandling og immunsupression. 	Patienten kan ikke stå op. Ben(fod) peger indad/udad. Ømhed. 	Røgtenbillede, CT eller MR scanning	Der er stor risiko for caputnekrose (knogledød), da karforsyningen i collum femoris promært kommer fra arterier langs collum. Hvis dette sker er en operation med indsættelse af protese nødvendig. 	Oftest kirurgisk ved hjælp af osteosyntese. Eller samme som andre frakturer.	Profylakse mod osteoporose. Mindske faldrisikoen ved at fokusere på bedre almentilstand, hjemmebesøg eller plejehjem. Træning er vigtigt for balance og styrke. Hoftebeskyttere til skrøbelige ældre har vist sig, at kunne forebygge 50% af alle hoftefrakturer. 	~50% varende gener. Fordi at forekomsten er så stor blandt ældre, er der mange andre faktorer som bidrager til 15-25% dødsrate indenfor første år     	Mellem
Distal radiusfraktur (håndledsbrud)	Mellem	Bevæge	Fraktur af distale radius. Enten udisloceredt el. Vinklet (dorsalt=Colles, volart=Smiths)	incidens: 350 per 100K, Colles udgør >50%. Hyppigst hos ældre kvinder. Hyppigste fraktur	fald. 1/3 i glat føre. Ofte osteoporose	indirekte smerter.	deformeret håndled (bajonetstilling), hævelse	Røngten i to planer	udislocerede: dorsal gipsskinne (4 uger). Dislocerede: reponeret i lokalanæstesi, evt. Ekstern fiksering. Smiths: reponering og fiksering med volar T-skinne	Forkortning af håndledet, skævstilling => hæmmet funktion	funktionssmerter ved løft og små vrid		Mellem
Humerusfraktur	Mellem	Bevæge	Brud på overarmen. proksimale, corpus- og suprakondylære frakturer	Næsthyppigste frakturtype. Børn, voksne, ældre med osteoperose	Proksimal: fald på skulderen el. udstrakt arm.Corpus humeri: direkte traume. Collum humeri: epifysiolyse (hos børn)	Direkte og Indirekte ømhed.	Skulderluksation (ledskred)	Røntgen. 	Udislocerede frakturer: fikseret armslynge (mitella) 1 uge, løs armslynge 2 uger. Dislocerede frakturer:konservativ behandling, evt. fiksering i anæstesi.	kar- og nervelæsioner. Sammenvoksning af ledkapsel => frossen/stiv skulder	Generelt god.		Mellem
Skulderluksation	Mellem	Bevæge	caput humeri lukserer i forhold til cavitas gleoidalis	relativt hyppige men mindre forekomst end skulderfrakturer	fald på strakt arm for forrest luksation (95%), bagerste luksation: bagudbelastning af skulderleddet. Sport el. Fald	Traumer under sport eller ved fald på gaden. 	skadede sides hånd kan ikke føres itl modsatte skulder. Diskonfiguration af skulderen (epauletskulder) caput humeri gledet fremad/nedad	røngten. Forfra og fra siden.	recidiv af skulderluksation er hyppig hos yngre voksne, derfor kan operation blive nødvendig. 	reposition (hippokrates manøvre), evt. Anæsti. Fikseret mitella (1-3 uger). Svingøvelser og belastningsøvelser		God, men relativ h'j risiko for rediciv. Jo flere episoder, jo større risiko er der for nye episoder. 	Mellem
Apopleksi (slagtilfælde)		Neurologiske sygdomme	Apopleksi er den samlede betegnelse for akut opståede neurologiske slagtilfælde. Der er iskæmisk apopleksi, der betegner nedtsat blodforsyning og utilstrækkelige gennemblødning) eller hæmoragi, der er blødning i hjernen. 	Der er ca. 12.000 nye tilfælde hvert år i DK. Incidensen stiger med alderen, hvor der er 5 gange højere risiko i aldersgruppen 75-85 end hos 55-65 årige. Apopleksi er den 3. hyppigste dødsårsag i DK. Iskæmisk apopleksi udgør 85% og hæmoragi er de sidste 15%. 	Ved iskæmisk apopleksi forstås nedat blodforsyning. Dette r ofte forårsaget af tombemboli, der stammer ofte stammer fra arterosklerotiske halspulsårer. Ved hæmoragisk apopleksi forstås en blødning fra kar i hjernevævet. Blødningen standes ofte af sig selv, men i visse tilfælde kan det indre tryk stige så meget, at man frygter, at hjernestammen afklemmes. 	Der er flere årsager til apopleksi: Forhøjet blodtryk, tidligere apopleksi, diabetes, forhøjet kolesterol i blodet, atrieflimmer, iskæmisk hjertesuýgdom eller hjerteklapsygdom. 	De kliniske fund afhænger af, hvilke områder i hjernen der er berørt. Der ses bl.a. symptomer som halvsidig lammelse, talebesvær, synsbesvær, nedsat eller ophævet følesans og koordinationsbesvær. 	Diagnosen stilles på baggrund af de pludseligt opståede neuroligiske symptomer og fund. Det skal dog afgøres om der er tale om iskæmisk eller hæmoragisk apopleksi, hvilket undersøges ved MR eller CT-scanning. 	Apopleksi medfører ofte fysiske handicap, men også depression grundet en personlighedsændring. En del patienter udvikler også epilepsi. 	Den akutte behandling er at stilles diagnosen, hvorefter der ved iskæmisk apopleksi kan gives trombolysebehandling (trombeopløsende), denne behandling skal dog ske inden for 4.5 time. Ved hæmoragi kan udtømning af blødningen komme på tale, hvis der er risiko for overtryk. Herefter er der genoptræning. 	Primær profylakse indebærer livsstilsændringer og helbredsmæssige risikofaktorer, f.eks. Forhøjet blodtryk, rygning, p-piller.. Sekundær profylakse er blodtrykssænkende og kolesterolhæmmende medicin, samt kiruigsk indgreb ved forsnævrede arterosklerotiske områder i halspulsåren. Generel folkeoplysning om symptomer kunne redde liv, da det handler om at få behandling i tide. 	Dødeligheden inden for den første måned er op imod 20%. 50% har mere eller mindre indvaliderende følger. 15% udskrives til plejehjem 	Mellem
Subaraknoidalblødning 		Neurologiske sygdomme	Blødning mellem arachnoidea mater og pia mater. 	Ca. 500 tilfælde pr. år i DK, hyppigst i aldersgruppen 40-60 år. Kvinder rammes lidt oftere [3:2].	Aneurismer udvikler sig med tiden som følge af en medfødt svaghed i arterievæggens glatte muskellag. Aneurismer er små udposning, dermangler arteriens glatte muskellag, der medfører, at den er så svag at den kan briste. 	Ca. 80% af alle subaraknoidalblødninger skyldes bristede aneurismer. Andre årsager kan være karmisdannelser, forhøjet blodtryk, karbetændelse eller hovedtraumer. 	Hovedsymptomet er pludseligt indsættende og megte kraftig hovedpine - brskirves ofte som en smæld i hovedet og den værste hovedpine nogensinde. Der kan også være bevidsthedstab og krampeanfald. Kvalme og opkastninger skyldes intrakranielt tryk. 	Blødningen kan ses på CT. Ved CT-angiografi kan blødningen lokalisres vha. kontraststof. 	Sekundær hjerneskade kan opstå pga. karsammentrækninger. 	Generelt stabilisering af patient og behandling for forhøjet intrakranielt tryk med henblik på, at lokalisere og stoppe blødningen. Dette kan gøres ved at sætte en lille metalclips på aneurismen eller ved en såkaldt coilbehandling, hvor der indføres et kateter med små platintråde, der får aneurisme til at trombosere. 		Mortaliteten er ca. 30-40% , hvoraf 75% dør inden for de første 24 timer. Mindre end 1/5 overlevende har ingen neurologiske følger. Mange af de overlevende har komplikationer iform af karsammentrækninger eller forhøjet intrakranielt tryk. 	Mellem
Epiduralt hæmatom 		Neurologiske sygdomme	Blødning i det epiduraqle rum mellem kraniets inderside og dura mater. 	Sjælden. Årligt indlægges der ca. 10.000 med hovedtraumer, hvoraf 1-2% af disse har epiduralt hæmatom. Der opreres ca. 75 årligt i dk. 	Opstår oftest ved hovedtraumer, der medfører kraniebrud. Man taler om et frit interval mellem traumet og symptomerne på ca. 4-8 timer. 	Hovedtraume	Ved ulykke kan patienten opleve kort bevidsthedstab, hvorefter det tilsyneladende kun har pådraget sig et let hoevdtraume. Når de intrakranielle tryk blive tilstrækkeligt stort (ca. 30-50 ml) vil der komme kvalme, hovedpine, opkastninger, bevidsthedsvækkelse, krampeanflad, halvsigig lammelse, talebesvær. 	Stilles ved akut CT, hvor de fremtræder som hvidlige ansamlinger mellem kraniet og hjernen. 	Permanente neurologiske udfaldssymptomer, hjerneskade og symptomatisk epilepsi. 	Akut operation med udtømning af hæmatom. 	Det kan forebygges ved brug af sikkerhedsudstyr såsom hjelm og sikkerhedssele. 	Akut dødelighed på ca. 20%. Kommer meget an på hvor hurtigt behandlingen igangssættes. 10-20 personer dør årligt i DK. Prognonsen på længere sigt afhænger af graden naf hjerneskade. 	Mellem
Subduralt hæmatom 		Neurologiske sygdomme	Blødning i det subdurale rum mellem dura mater og arachnoidea mater. 	Skelnes mellem akut og kronisk. Akut ca. 200 pr. år. Kronisk ca. 300 pr. år, hvor hyppighed er højst hos ældre. 	Akutte subdurale hæmatomer opstår ved svære hovedtraumer og skyldes oftest blødning fra beskadigede arterier. Kronisk subduralt hæmatom opstår ved overrivning af brovenerne. Det kan være et let hoevdtraume, der er pådraget uger eller måneder før det viser sig. Ses overvejsende hos patienter med atrofi i hjernen. 	Akutte opstår ved svære hovedtraumer, men risikoen forværres for patienter med blodfortyndende medicin eller blødningstendens. Kronisk opstår ved lette hovedtraumer hos folk med atrofi, forværres f.eks. Ved mangeårigt alkoholmisbrug. 	Ved akut  ses svækket bevidsthed, pupilforandringer og evt. halvsigig lammelse. Ved kronisk ses symptomer henover uger såsom hoevdpine, kognitive forstyrrelser, konfusion og hukkommelsesproblemer smat balance- og gangbesvær- Efterhånden som hæmatomer vokser forværres symptomerne. 	CT	Afhænger af permanent hjerneskade. Ofte sympotomatisk epilepsi. 	Behandles neurokirurgisk, hvor der udtømmes via borehuller. 	Forebygges ved sikkerhedsudstyr. Behandling af kronisk alkoholmisbrug. 	Ved akut er mortalitet på 60% og mange af de overlvende genvinder ikke normal funktion. Ved kronisk er mortaliteten 3-4% og omkring 80% genvinder normalfunktion. 	Mellem
Epilepsi 		Neurologiske sygdomme	Der skelnes mellem epilepsi og epileptiske anfald. Epilepsi er betegnelse for gentagende uprovokerede epileptiske anfald. Epileptiske anfald er ukontrolleret elektrisk aktivitet i storhjernebarken. 	Ca. 1% af befolkningen. Ca. 3000 nye patienter pr. år. Livstidsprævalensen er 9%, hvilket vil sige, at 9% vil opleve et epileptisk anfald på et tidspunkt. 3/4 af tilfældende opstår i børne- ungdomsalderen. Igen stigende ved 50-års alderen. 	Epileptiske anfald skyldes abnorm kortikal hypersynkronisering. Hjernebarken sender kraftige elektriske signaler rundt om nervecellerne. Opdeles i generel epilepsi, hvor hele hjernebarken er involveret og fokal epilepsi, hvor kun enkelte dele er involveret. 	Hos størstedelen af patienterne er årsagen ukendt (idopatisk epilepsi). For nyfødte er der oftest tale om fødselsskader, medfødte misdannelser eller metaboliske sygdomme. Hos børn og unge er det idiopatiske eller genetiske tilstande. Hos unge voksne er det hoevdtraume, medikamenter og alkohol. Ældre voksne er apopleksi, hjernetumorer og metaboliske forstyrrelser. 	Patienten har oftest bevidsthedsbesvær under anfald, derfor er det de pårørende, der beskriver dem. Tonisk-klonisk anfald, hvor pt mister bevidsthed, alle muskler trækkes sammen og der lyder et skrig når luften presses ud af lungerne, udspilede og opaddrejede øjne. Tonisk fase 30 sek, klonisk 60 sek. Klonisk fase bevæger pt sig meget og risiko for andre traumer. Absenceanfald er mindre voldsomme en tonisk-kloniske anflad. Pt virker fjern og holder op med at tale og læse, men falder ikke. Klart kort tid efter, men husker intet. Pt. kan have over 100 af denne type anfald og derfor er det meget invaliderende for læring og arbejde. FIA-anfald fra tindigelap, her mærker pt at der er noget undervejs, piller, smasker og laver formålsløse gerninger. FIA-anfald fra pandelap er ofte i søvn, hvor det er vsært at holde pt i sengen. Rolandiske anfald er hyppige hos børn, hvor der er en kildende fornemmelsen i den ene side af ansigtet og tunget. 	En grundsig sygehistorie er afgørende for at stille diagnogsen. Den vigtigste parakliniske undersøgelse er EEG, herefter MR scanning. Mange patienter udredes  med forskellige blodprøver. Det er vigtigt at udelukke besvimelser, psykiske lidelser, hypoglykæmi, hjerte-kar-sygdomme og bevægeforstyrrelser før diagnogsen stilles. 	Risiko for at komme til skade under anfald. 	Der skelnes mellem fire former for behandling: adfærdsændring (undgå situationer, der kan fremprovokere anfald), farmakologisk anfaldsforbyggelse (øge nervecellernes inhibition), farmakologisk anfaldsbehandling (anvendes ved langvarige anfald iform af mikstur, injektion eller i endetarm) og kirurigsk intervention (her fjernes et lille udsnit for at fjerne de elektriske forbindelser til andre områder). 	Da årsagen i langt de fleste tilfælde er ukendt er forebyggelse svær, men indsats mod hovedtraumer, undgå hjernetumorer dermed undgå rygning og radioaktivitet. 	Flere brøn formår at vokse fra deres sygdom, og mange kan opleve at have gode og mindre gode perioder af deres sygdom. Specielt anfald under søvn forårsager flere dødsfald f.eks. Ved kvæling eller traumer. Noget tyder på at selvmor der hyppigere hos særligt patienter med antiepleptisk medicin. 	Mellem
Spændingshovedpine og migræne 		Neurologiske sygdomme	Spændingshovedpine og migræne klassificeres efter den internationale hovedpineklassifikation. Kan inddeles i sporadisk spændingshovedpine, kronisk spændingshovedpine og hyppig spændingshovedpine. 	Spændingshovedpine er den mest almindelige hobedpine hos begge køn. 15% af befolkningen oplever det. Incidensen falder med alderen. Livstidsforekomsten for migræne er 25% for kvinder og 8% hos mænd. 3-5% har ét anfald om måneden, med en overvægt af kvinder [3:1]. Ved puberten stiger prævalensen, men aftager kraftig ved 60-års alderen. 	Direkte smertestimuli af forskellige strukturer omkring hjernen og kraniet kan medfører hovedpine. Spændingshovedpine kan fremkaldes ved mindre permanent og abnorm kontraktionstilstand i musklegrupper, som giver smerter i muskelsenetilhæftninger. Når spændingshovedpinen skifter fra at være episodisk til kronisk, sker der en sensibilisering af smertebanerne i centralnervesystemet. Ved migrænes menes de store og mellemstore kranielle arterier samt dura mater at være involveret. 	Ukendt. Det vides at der er 4 gange så stor risiko for at få et migræneanfald, hvis du er 1. gradsslægtning. Mere end 50% af kvinder med migræne ser en sammenhæng mellem menstruation og anfald. Derudover er der faktorer såsom dårlig holdning, dårlig arbejdsstilling, ukorrigeret dårligt syn samt stress og andre psykiske faktorer. 	Spændingshovedpinen er typisk moderat i styrke og lokaliseret fronttemporalt eller i baghovedet. Den typiske migrænepatient vil isolere sig i et mørkt rum og styrken af smerte er moderat til svær og forværres ved aktivitet. Derudover kan patienten have aura, der nedsætter funktionsevne ift. det normale. 	Grundig sygehistorie og neurologisk undersøgelse vil typisk kunne fastlægge en diagnogse, men ved mistanke om anden kraniel sygdom foretages en CT eller MR. 	Migræne giver anledning til psykiske lidelser, apopleksi, epilepsi, allergi og astma uden at de bagvedliggende mekanismer er kendt. 	behandling afhænger af sværhedgrad og type, men smertestillende medicin, psykologisk støtte, udspænding, massage, ultralyd og blokader kan være nyttige. Oftest henvises man til hovedpineklinik med specialiserede kompetencer. 	Motion kan virke forebyggende på hovedpine, men vigtigst må man forsøge at forbedre hverdagen ved at undgå dårlige arbejdsstillinger, forkert anvendelse af computer eller nedsat belysning. Nogle migrænepatienter har tendens til anfald efter rødvin eller chokolade eksempelvis. 	Prognogsen er god, idet det meste kan behandles og tendensen aftager med alderen. 	Mellem
Demens		Neurologiske sygdomme	Demens er en symptomdiagnose og ikke en sygdom i sig selv. De to hyppigste typer er Alzheimers og vaskulær demens. Karakteriseret ved reduceret kognitivt funktionsniveau sammenholdt med tidligere, reduceret hukommelsesfunktion og mindst én anden kognitiv deficit.	Forekommer hos 1% af 65-69-åriger, og ca. 20% af 85-89-årige. Stiger altså kraftigt med alderen og fordobles hvert femte leveår hos ældre. 7700 rammes årlig i DK. 	Demens kan forårsages af en række hjernesygdomme. De to hyppigste er Alzheimers sygdom, og vaskulær demens, som skyldes forskellige patologiske ændringer af hjernens blodgennemstrømning.	Genetiske faktorer (den arvelige form for alzheimers ses hos 1-3%), biologiske faktorer (forhøjet blodtryk, hjertesygdom og diabetes øger risikoen for vaskulær demens) og livsstilsfaktorer (rygning, fedtholdig kost og ringe motion øger også risiko for vaskulær demens). 	Udvikling af multiple deficit, der omfatter hukommelsessvækkelse. Funktionsevne er reduceret repræsentere en reduktion fra et tidligere højere funktionsniveau Ingen bevidsthedsforstyrrelse. Kan ikke mærkes eller ses. Kan kun testest ud fra symptomerne som hukommelse, sprog, orientering- af tid, sted og egne forhold.	Pårørende inddrages i en grund anamnese, så al infomation bliver tilgængelig. I udregningen tages der blodprøver og en MR for at udelukke anden årsag til symptomer. 		Medicinsk behanling forbedrer de kognitive funktioner, den daglige funktionsevne og psykiatriske symptomer, der kan udskyde progressionen af sygdommen med et havlt til et helt år. Der findes ingen medicinsk behandling af vaskulær demens. Rådgivning og informtion om sygdom til patient og pårørende er vigtigt og kommunen tilbyde hjælp iform af huslige pligter, plejehjem, madlavning eller andet der kan lette hverdagen. 	Det er ikke muligt at forebygge alzheimers. Vaskulær demens forebygges ved at sænke cerebrovaskulære risikofaktorer. F.eks. Højt kolestoroltal, hjertesygdom, hypertension, diabetes og rygning. 	Slutstadiet er karakteriseret ved stille tilstand og døden indtræde efter 8-10 år i gennemsnit, men med store variationer fra 2 til 20 år. 	Mellem
